County ID,Recipe File No.
28143,0
72017,0
54021,0
53067,0
28153,0
53077,0
54031,0
72007,0
42041,0
45007,0
26097,0
18115,0
39165,0
45017,0
42051,0
39175,0
42129,0
18105,0
26087,0
17041,0
31077,1
36031,1
13215,1
17139,1
36021,1
31067,1
17051,1
17129,1
13205,1
20129,1
27017,1
01021,1
19195,1
06067,1
20051,1
20139,1
20041,1
06077,1
01031,1
19185,1
27007,2
05113,2
05103,2
51193,2
49027,2
13173,2
48455,2
51183,2
49037,2
13163,2
48445,2
13069,2
49045,2
32019,2
51089,2
13111,2
48437,2
32009,2
13079,2
49055,2
13101,3
51099,3
48427,3
05009,3
47181,3
05019,3
06005,3
20033,3
27075,3
01043,3
01053,3
27065,3
20023,3
06015,3
36053,3
17023,3
31015,3
13277,3
31005,3
17033,3
36043,4
13267,4
50009,4
50019,4
46069,4
46111,4
46079,4
46101,4
45065,4
42023,4
39107,4
18177,4
42033,4
45075,4
18167,4
39117,4
30095,4
28121,4
53005,4
72075,4
28059,5
54043,5
30085,5
28131,5
54053,5
72065,5
28049,5
53015,5
37037,5
11001,5
16047,5
48347,5
30071,5
72091,5
30109,5
30061,5
48357,5
16057,5
37027,5
72081,5
45081,6
21057,6
26011,6
45091,6
18183,6
26001,6
21047,6
22123,6
48021,6
48159,6
48031,6
48149,6
29145,6
13293,6
55027,6
29155,6
08125,6
55037,6
13283,6
44001,6
27091,7
19113,7
19103,7
27081,7
51740,7
47175,7
40133,7
51750,7
40123,7
47165,7
51115,7
29223,7
51105,7
51177,7
13197,7
51167,7
13187,7
40029,7
40151,7
47117,7
40039,8
47107,8
40141,8
19009,8
38079,8
19171,8
06083,8
38101,8
38069,8
19019,8
06093,8
19161,8
29127,8
31093,8
55045,8
29137,8
31083,8
55055,8
48043,8
12117,8
48053,9
12107,9
51595,9
22039,9
22029,9
18089,9
26073,9
21035,9
18099,9
21025,9
26063,9
16025,9
30013,9
48325,9
37055,9
02070,9
37045,9
48335,9
30003,9
16035,9
02060,10
42083,10
21013,10
26055,10
42093,10
26045,10
21003,10
37073,10
48303,10
30035,10
16003,10
16013,10
30025,10
48313,10
37063,10
48065,10
12049,10
12131,10
48075,10
12059,10
12121,11
20093,11
19157,11
19147,11
20083,11
29101,11
17083,11
08009,11
55063,11
29079,11
17093,11
29111,11
29069,11
55073,11
08019,11
48497,11
51029,11
51141,11
48487,11
47049,11
47131,12
47059,12
47121,12
40115,12
47153,12
47143,12
40105,12
29205,12
51133,12
29215,12
29163,12
08113,12
36091,12
17199,12
55001,12
36081,12
08103,12
29173,12
55011,12
17189,12
20189,13
19135,13
01081,13
20199,13
19125,13
01091,13
22105,13
22115,13
48007,13
48017,13
30057,13
48361,13
16061,13
37011,13
54081,13
48219,13
37169,13
37001,13
16071,13
48371,13
30047,14
37179,14
48209,14
54091,14
21109,14
26037,14
21071,14
21119,14
21061,14
26027,14
42005,14
18029,14
45043,14
39059,14
18151,14
39121,14
21095,14
39049,14
45053,14
42015,14
18039,15
39131,15
21085,15
18141,15
48385,15
28107,15
16085,15
54065,15
72053,15
53023,15
48395,15
28117,15
53033,15
72043,15
54075,15
41009,15
22099,15
46137,15
41019,15
46127,15
22089,16
01065,16
27053,16
20015,16
06023,16
06033,16
20005,16
27043,16
01075,16
31033,16
29187,16
17005,16
36075,16
13251,16
36065,16
17015,16
31023,16
29197,16
13241,16
13137,16
48411,17
13127,17
48401,17
40089,17
23019,17
05147,17
40099,17
23009,17
05135,17
05125,17
49001,17
13155,17
48473,17
49011,17
13145,17
48463,17
36017,17
31051,17
17067,17
55087,17
31129,18
13233,18
17077,18
31041,18
36007,18
31139,18
13223,18
55097,18
27149,18
20077,18
06041,18
01007,18
27031,18
27159,18
27021,18
01017,18
06051,18
20067,18
